variant,split,run_seed,shield_warning_radius,mean_episode_cost,mean_episode_return,mean_goals_achieved,mean_shield_intervention_rate,checkpoint_name,summary_path
easy,train,0,0.6,38.65625,11.143902832007928,4.3125,0.29000000000000004,final_model.zip,results/shield/easy/seed0_radius0p60/evaluations/final_model/train/eval_summary.csv
easy,train,2,0.28,38.125,14.53760687365558,5.84375,0.16521875,final_model.zip,results/shield/easy/seed2_radius0p28/evaluations/final_model/train/eval_summary.csv
easy,train,2,0.1,83.3125,18.98933703396657,7.4375,0.02665625,final_model.zip,results/shield/easy/seed2_radius0p10/evaluations/final_model/train/eval_summary.csv
easy,train,2,0.2,64.1875,17.98853756677054,6.9375,0.06409374999999999,final_model.zip,results/shield/easy/seed2_radius0p20/evaluations/final_model/train/eval_summary.csv
easy,train,2,0.8,15.59375,4.109399554228824,1.78125,0.398,final_model.zip,results/shield/easy/seed2_radius0p80/evaluations/final_model/train/eval_summary.csv
easy,train,2,0.6,18.6875,9.309233049447828,3.65625,0.29934375,final_model.zip,results/shield/easy/seed2_radius0p60/evaluations/final_model/train/eval_summary.csv
easy,train,1,0.4,21.90625,13.400032353017448,5.0625,0.12062500000000001,final_model.zip,results/shield/easy/seed1_radius0p40/evaluations/final_model/train/eval_summary.csv
easy,train,0,0.28,32.53125,11.77389695599635,5.15625,0.0995,final_model.zip,results/shield/easy/seed0_radius0p28/evaluations/final_model/train/eval_summary.csv
easy,train,0,0.1,90.75,18.06226683847276,7.125,0.033,final_model.zip,results/shield/easy/seed0_radius0p10/evaluations/final_model/train/eval_summary.csv
easy,train,0,0.8,21.78125,6.057267478444465,2.4375,0.41384374999999995,final_model.zip,results/shield/easy/seed0_radius0p80/evaluations/final_model/train/eval_summary.csv
easy,train,0,0.2,134.34375,14.224080893541561,5.4375,0.13418750000000002,final_model.zip,results/shield/easy/seed0_radius0p20/evaluations/final_model/train/eval_summary.csv
easy,train,2,0.4,15.875,12.859310782780504,4.75,0.17859375,final_model.zip,results/shield/easy/seed2_radius0p40/evaluations/final_model/train/eval_summary.csv
easy,train,1,0.6,22.78125,12.800361791402256,4.90625,0.25865625,final_model.zip,results/shield/easy/seed1_radius0p60/evaluations/final_model/train/eval_summary.csv
