variant,split,run_seed,budget,lagrangian_lambda,mean_episode_cost,mean_episode_return,mean_goals_achieved,checkpoint_name,summary_path
easy,train,0,20.0,95.60000000000002,0.96875,-1.395080253828191,0.375,final_model.zip,results/lagrangian/easy/seed0_budget20/evaluations/final_model/train/eval_summary.csv
easy,train,1,20.0,155.90000000000003,32.875,-5.029030438820396,0.0625,final_model.zip,results/lagrangian/easy/seed1_budget20/evaluations/final_model/train/eval_summary.csv
easy,train,1,5.0,85.2,24.40625,-0.3601768578150114,0.21875,final_model.zip,results/lagrangian/easy/seed1_budget5/evaluations/final_model/train/eval_summary.csv
easy,train,0,10.0,114.04999999999991,2.03125,2.154838774218102,1.5,final_model.zip,results/lagrangian/easy/seed0_budget10/evaluations/final_model/train/eval_summary.csv
easy,train,1,10.0,27.300000000000004,2.59375,-0.46596113058362754,0.09375,final_model.zip,results/lagrangian/easy/seed1_budget10/evaluations/final_model/train/eval_summary.csv
easy,train,0,5.0,297.2000000000001,25.53125,3.611504889975681,1.5625,final_model.zip,results/lagrangian/easy/seed0_budget5/evaluations/final_model/train/eval_summary.csv
easy,train,2,5.0,94.30000000000004,1.21875,0.4442536534115708,0.5,final_model.zip,results/lagrangian/easy/seed2_budget5/evaluations/final_model/train/eval_summary.csv
easy,train,0,35.0,0.0,11.09375,14.3821048073148,5.65625,final_model.zip,results/lagrangian/easy/seed0_budget35/evaluations/final_model/train/eval_summary.csv
easy,train,1,35.0,28.35,14.84375,1.1338038327638968,0.59375,final_model.zip,results/lagrangian/easy/seed1_budget35/evaluations/final_model/train/eval_summary.csv
easy,train,1,0.0,169.55,19.8125,-14.123600742306216,0.21875,final_model.zip,results/lagrangian/easy/seed1_budget0/evaluations/final_model/train/eval_summary.csv
easy,train,2,10.0,20.75000000000001,1.0,-2.74625952732105,1.28125,final_model.zip,results/lagrangian/easy/seed2_budget10/evaluations/final_model/train/eval_summary.csv
easy,train,0,0.0,281.80000000000007,13.625,-0.8415386247724066,0.15625,final_model.zip,results/lagrangian/easy/seed0_budget0/evaluations/final_model/train/eval_summary.csv
easy,train,2,20.0,0.0,18.78125,2.507365337800428,1.71875,final_model.zip,results/lagrangian/easy/seed2_budget20/evaluations/final_model/train/eval_summary.csv
easy,train,2,0.0,134.8,7.34375,0.25311287233214896,0.6875,final_model.zip,results/lagrangian/easy/seed2_budget0/evaluations/final_model/train/eval_summary.csv
easy,train,2,35.0,0.0,14.125,11.39993098061442,4.21875,final_model.zip,results/lagrangian/easy/seed2_budget35/evaluations/final_model/train/eval_summary.csv
hard,train,0,20.0,31.650000000000013,5.28125,-12.377420290502709,0.21875,final_model.zip,results/lagrangian/hard/seed0_budget20/evaluations/final_model/train/eval_summary.csv
hard,train,1,20.0,259.55000000000007,5.75,-6.050714464661064,0.03125,final_model.zip,results/lagrangian/hard/seed1_budget20/evaluations/final_model/train/eval_summary.csv
hard,train,1,5.0,333.40000000000003,8.03125,-24.648241961540585,0.09375,final_model.zip,results/lagrangian/hard/seed1_budget5/evaluations/final_model/train/eval_summary.csv
hard,train,0,10.0,442.79999999999995,5.90625,-3.5083615419506415,0.0,final_model.zip,results/lagrangian/hard/seed0_budget10/evaluations/final_model/train/eval_summary.csv
hard,train,1,10.0,174.14999999999995,11.0,-1.6816777721892677,0.28125,final_model.zip,results/lagrangian/hard/seed1_budget10/evaluations/final_model/train/eval_summary.csv
hard,train,0,5.0,313.4,18.21875,-0.0025533028895486573,0.375,final_model.zip,results/lagrangian/hard/seed0_budget5/evaluations/final_model/train/eval_summary.csv
hard,train,2,5.0,125.60000000000002,17.3125,-0.8820474845399465,0.0625,final_model.zip,results/lagrangian/hard/seed2_budget5/evaluations/final_model/train/eval_summary.csv
hard,train,0,35.0,470.85,92.5625,0.06770791156259173,0.125,final_model.zip,results/lagrangian/hard/seed0_budget35/evaluations/final_model/train/eval_summary.csv
hard,train,1,35.0,1.5500000000000043,20.1875,-1.1411794699032196,0.25,final_model.zip,results/lagrangian/hard/seed1_budget35/evaluations/final_model/train/eval_summary.csv
hard,train,1,0.0,691.0500000000002,3.90625,-1.3698928211080101,0.0,final_model.zip,results/lagrangian/hard/seed1_budget0/evaluations/final_model/train/eval_summary.csv
hard,train,2,10.0,137.60000000000005,68.1875,-1.2791908830011673,0.4375,final_model.zip,results/lagrangian/hard/seed2_budget10/evaluations/final_model/train/eval_summary.csv
hard,train,0,0.0,195.15,3.46875,-4.168284267040197,0.0625,final_model.zip,results/lagrangian/hard/seed0_budget0/evaluations/final_model/train/eval_summary.csv
hard,train,2,20.0,55.70000000000007,0.375,-2.08629300228714,0.25,final_model.zip,results/lagrangian/hard/seed2_budget20/evaluations/final_model/train/eval_summary.csv
hard,train,2,0.0,365.49999999999994,10.6875,0.7100791400704567,0.40625,final_model.zip,results/lagrangian/hard/seed2_budget0/evaluations/final_model/train/eval_summary.csv
hard,train,2,35.0,0.0,27.96875,-4.182093747354928,0.21875,final_model.zip,results/lagrangian/hard/seed2_budget35/evaluations/final_model/train/eval_summary.csv
medium,train,0,20.0,34.49999999999997,17.15625,-0.6750737118916248,0.0,final_model.zip,results/lagrangian/medium/seed0_budget20/evaluations/final_model/train/eval_summary.csv
medium,train,1,20.0,27.299999999999983,2.34375,-12.748781303383858,0.03125,final_model.zip,results/lagrangian/medium/seed1_budget20/evaluations/final_model/train/eval_summary.csv
medium,train,1,5.0,224.49999999999994,1.0625,-15.924201424715918,0.03125,final_model.zip,results/lagrangian/medium/seed1_budget5/evaluations/final_model/train/eval_summary.csv
medium,train,0,10.0,408.8499999999999,4.6875,-2.748809336478372,0.0,final_model.zip,results/lagrangian/medium/seed0_budget10/evaluations/final_model/train/eval_summary.csv
medium,train,1,10.0,53.85000000000001,0.0,-5.226737111985982,0.03125,final_model.zip,results/lagrangian/medium/seed1_budget10/evaluations/final_model/train/eval_summary.csv
medium,train,0,5.0,270.3,4.625,-27.077914826233712,0.0625,final_model.zip,results/lagrangian/medium/seed0_budget5/evaluations/final_model/train/eval_summary.csv
medium,train,2,5.0,134.6,6.125,0.41696142175282275,0.375,final_model.zip,results/lagrangian/medium/seed2_budget5/evaluations/final_model/train/eval_summary.csv
medium,train,0,35.0,0.2499999999999996,49.34375,-0.5120216303277977,0.03125,final_model.zip,results/lagrangian/medium/seed0_budget35/evaluations/final_model/train/eval_summary.csv
medium,train,1,35.0,0.0,56.125,-1.2805272418713116,0.1875,final_model.zip,results/lagrangian/medium/seed1_budget35/evaluations/final_model/train/eval_summary.csv
medium,train,1,0.0,308.84999999999997,0.0,-1.6491951661440674,0.0,final_model.zip,results/lagrangian/medium/seed1_budget0/evaluations/final_model/train/eval_summary.csv
medium,train,2,10.0,113.95000000000005,23.78125,-0.7646597538081321,0.09375,final_model.zip,results/lagrangian/medium/seed2_budget10/evaluations/final_model/train/eval_summary.csv
medium,train,0,0.0,266.8999999999999,6.53125,-17.813946692204883,0.15625,final_model.zip,results/lagrangian/medium/seed0_budget0/evaluations/final_model/train/eval_summary.csv
medium,train,2,20.0,55.05000000000001,8.0,-0.24207173970642862,0.15625,final_model.zip,results/lagrangian/medium/seed2_budget20/evaluations/final_model/train/eval_summary.csv
medium,train,2,0.0,223.50000000000009,56.46875,-2.758055647144266,0.0625,final_model.zip,results/lagrangian/medium/seed2_budget0/evaluations/final_model/train/eval_summary.csv
medium,train,2,35.0,5.149999999999967,55.28125,0.9394707938810851,0.5,final_model.zip,results/lagrangian/medium/seed2_budget35/evaluations/final_model/train/eval_summary.csv
