variant,split,run_seed,target_budget,matched_penalty_coeff,matched_mean_episode_cost,matched_mean_episode_return,matched_checkpoint_name,cost_gap,summary_path
easy,train,0,0.0,3.0,7.34375,2.582968235241169,final_model.zip,7.34375,results/reward_penalty/easy/seed0_lambda3p0/evaluations/final_model/train/eval_summary.csv
easy,train,0,5.0,3.0,7.34375,2.582968235241169,final_model.zip,2.34375,results/reward_penalty/easy/seed0_lambda3p0/evaluations/final_model/train/eval_summary.csv
easy,train,0,10.0,10.0,8.75,-0.08744916405010958,final_model.zip,1.25,results/reward_penalty/easy/seed0_lambda10p0/evaluations/final_model/train/eval_summary.csv
easy,train,0,20.0,0.3,18.25,10.165284521779778,final_model.zip,1.75,results/reward_penalty/easy/seed0_lambda0p3/evaluations/final_model/train/eval_summary.csv
easy,train,0,35.0,0.1,26.9375,18.30691018208537,final_model.zip,8.0625,results/reward_penalty/easy/seed0_lambda0p1/evaluations/final_model/train/eval_summary.csv
easy,train,2,0.0,30.0,4.375,-10.998905433458333,final_model.zip,4.375,results/reward_penalty/easy/seed2_lambda30p0/evaluations/final_model/train/eval_summary.csv
easy,train,2,5.0,1.0,4.78125,7.837085100904116,final_model.zip,0.21875,results/reward_penalty/easy/seed2_lambda1p0/evaluations/final_model/train/eval_summary.csv
easy,train,2,10.0,0.3,13.84375,12.800798531736504,final_model.zip,3.84375,results/reward_penalty/easy/seed2_lambda0p3/evaluations/final_model/train/eval_summary.csv
easy,train,2,20.0,0.1,23.03125,10.43420829345417,final_model.zip,3.03125,results/reward_penalty/easy/seed2_lambda0p1/evaluations/final_model/train/eval_summary.csv
easy,train,2,35.0,0.0,31.84375,20.573489892668107,final_model.zip,3.15625,results/reward_penalty/easy/seed2_lambda0p0/evaluations/final_model/train/eval_summary.csv
easy,train,1,0.0,1.0,0.0,0.1779497477514044,final_model.zip,0.0,results/reward_penalty/easy/seed1_lambda1p0/evaluations/final_model/train/eval_summary.csv
easy,train,1,5.0,0.3,3.6875,-0.4977132381702231,final_model.zip,1.3125,results/reward_penalty/easy/seed1_lambda0p3/evaluations/final_model/train/eval_summary.csv
easy,train,1,10.0,3.0,13.84375,-0.4045256164926171,final_model.zip,3.84375,results/reward_penalty/easy/seed1_lambda3p0/evaluations/final_model/train/eval_summary.csv
easy,train,1,20.0,3.0,13.84375,-0.4045256164926171,final_model.zip,6.15625,results/reward_penalty/easy/seed1_lambda3p0/evaluations/final_model/train/eval_summary.csv
easy,train,1,35.0,0.1,53.78125,15.169022853869313,final_model.zip,18.78125,results/reward_penalty/easy/seed1_lambda0p1/evaluations/final_model/train/eval_summary.csv
hard,train,0,0.0,10.0,10.5,-5.601080872834803,final_model.zip,10.5,results/reward_penalty/hard/seed0_lambda10p0/evaluations/final_model/train/eval_summary.csv
hard,train,0,5.0,10.0,10.5,-5.601080872834803,final_model.zip,5.5,results/reward_penalty/hard/seed0_lambda10p0/evaluations/final_model/train/eval_summary.csv
hard,train,0,10.0,10.0,10.5,-5.601080872834803,final_model.zip,0.5,results/reward_penalty/hard/seed0_lambda10p0/evaluations/final_model/train/eval_summary.csv
hard,train,0,20.0,3.0,25.4375,-0.05180309986898736,final_model.zip,5.4375,results/reward_penalty/hard/seed0_lambda3p0/evaluations/final_model/train/eval_summary.csv
hard,train,0,35.0,3.0,25.4375,-0.05180309986898736,final_model.zip,9.5625,results/reward_penalty/hard/seed0_lambda3p0/evaluations/final_model/train/eval_summary.csv
hard,train,2,0.0,3.0,1.34375,-0.42716341092787224,final_model.zip,1.34375,results/reward_penalty/hard/seed2_lambda3p0/evaluations/final_model/train/eval_summary.csv
hard,train,2,5.0,10.0,6.46875,-2.5742757141459713,final_model.zip,1.46875,results/reward_penalty/hard/seed2_lambda10p0/evaluations/final_model/train/eval_summary.csv
hard,train,2,10.0,10.0,6.46875,-2.5742757141459713,final_model.zip,3.53125,results/reward_penalty/hard/seed2_lambda10p0/evaluations/final_model/train/eval_summary.csv
hard,train,2,20.0,30.0,25.78125,-4.05860836898186,final_model.zip,5.78125,results/reward_penalty/hard/seed2_lambda30p0/evaluations/final_model/train/eval_summary.csv
hard,train,2,35.0,1.0,42.3125,-5.939209571101612,final_model.zip,7.3125,results/reward_penalty/hard/seed2_lambda1p0/evaluations/final_model/train/eval_summary.csv
hard,train,1,0.0,10.0,8.375,-2.6112670514532197,final_model.zip,8.375,results/reward_penalty/hard/seed1_lambda10p0/evaluations/final_model/train/eval_summary.csv
hard,train,1,5.0,10.0,8.375,-2.6112670514532197,final_model.zip,3.375,results/reward_penalty/hard/seed1_lambda10p0/evaluations/final_model/train/eval_summary.csv
hard,train,1,10.0,30.0,8.96875,-7.178842165419327,final_model.zip,1.03125,results/reward_penalty/hard/seed1_lambda30p0/evaluations/final_model/train/eval_summary.csv
hard,train,1,20.0,0.1,15.1875,2.729770917819075,final_model.zip,4.8125,results/reward_penalty/hard/seed1_lambda0p1/evaluations/final_model/train/eval_summary.csv
hard,train,1,35.0,0.3,42.3125,-9.045634884910411,final_model.zip,7.3125,results/reward_penalty/hard/seed1_lambda0p3/evaluations/final_model/train/eval_summary.csv
medium,train,0,0.0,30.0,3.8125,0.07909822057424593,final_model.zip,3.8125,results/reward_penalty/medium/seed0_lambda30p0/evaluations/final_model/train/eval_summary.csv
