timesteps,elapsed_seconds,steps_per_second,baseline,variant,run_seed,split,layout_seed,episode_return,episode_penalized_return,episode_cost,goals_achieved,episode_length,penalty_coeff,budget,lagrangian_lambda,lagrangian_lambda_before_update,lagrangian_lambda_after_update,episode_shield_interventions,shield_intervention_rate
1000,1.294016,772.78521,lagrangian,easy,2,train,8,-0.8375804112267393,-0.8375804112267393,0.0,0,1000,,5.0,0.0,0.0,0.0,,
2000,2.646383,755.746615,lagrangian,easy,2,train,15,0.6924536143537052,0.6924536143537052,0.0,0,1000,,5.0,0.0,0.0,0.0,,
3000,4.352333,689.284695,lagrangian,easy,2,train,13,0.24380320677995249,0.24380320677995249,0.0,0,1000,,5.0,0.0,0.0,0.0,,
4000,5.668321,705.675714,lagrangian,easy,2,train,8,-0.718121097523658,-0.718121097523658,0.0,0,1000,,5.0,0.0,0.0,0.0,,
5000,7.358241,679.509852,lagrangian,easy,2,train,22,0.559255596421667,0.559255596421667,0.0,0,1000,,5.0,0.0,0.0,0.0,,
6000,8.651299,693.537167,lagrangian,easy,2,train,11,1.7943650294269968,1.7943650294269968,0.0,0,1000,,5.0,0.0,0.0,0.0,,
7000,10.347487,676.49247,lagrangian,easy,2,train,18,-3.3507774874983096,-3.3507774874983096,0.0,0,1000,,5.0,0.0,0.0,0.0,,
8000,11.640567,687.251525,lagrangian,easy,2,train,11,0.17803817851018966,0.17803817851018966,0.0,0,1000,,5.0,0.0,0.0,0.0,,
9000,13.321114,675.618975,lagrangian,easy,2,train,8,-2.080143056870502,-2.080143056870502,96.0,0,1000,,5.0,0.0,0.0,4.55,,
10000,14.599976,684.932459,lagrangian,easy,2,train,7,-5.468068907275962,-5.468068907275962,0.0,0,1000,,5.0,4.55,4.55,4.3,,
11000,16.278906,675.720904,lagrangian,easy,2,train,2,-0.9465266411203741,-1910.1465266411235,444.0,0,1000,,5.0,4.3,4.3,26.250000000000004,,
12000,17.561366,683.317952,lagrangian,easy,2,train,17,-0.5968024977299364,-0.5968024977299364,0.0,0,1000,,5.0,26.250000000000004,26.250000000000004,26.000000000000004,,
13000,19.244337,675.523237,lagrangian,easy,2,train,31,0.9230604058365861,-1273.0769395941622,49.0,0,1000,,5.0,26.000000000000004,26.000000000000004,28.200000000000003,,
14000,20.533869,681.800242,lagrangian,easy,2,train,11,-0.19770349912410046,-0.19770349912410046,0.0,0,1000,,5.0,28.200000000000003,28.200000000000003,27.950000000000003,,
