timesteps,elapsed_seconds,steps_per_second,baseline,variant,run_seed,split,layout_seed,episode_return,episode_penalized_return,episode_cost,goals_achieved,episode_length,penalty_coeff,budget,lagrangian_lambda,lagrangian_lambda_before_update,lagrangian_lambda_after_update,episode_shield_interventions,shield_intervention_rate
1000,1.861466,537.208673,lagrangian,hard,2,train,8,0.8736529529108756,0.8736529529108756,0.0,0,1000,,10.0,0.0,0.0,0.0,,
2000,3.693094,541.550618,lagrangian,hard,2,train,15,0.6126076709059114,0.6126076709059114,168.0,0,1000,,10.0,0.0,0.0,7.9,,
3000,6.089483,492.652273,lagrangian,hard,2,train,13,0.11150939675815252,0.11150939675815252,0.0,0,1000,,10.0,7.9,7.9,7.4,,
4000,7.596904,526.529995,lagrangian,hard,2,train,8,-0.018008589230466998,-466.21800858923064,63.0,0,1000,,10.0,7.4,7.4,10.05,,
5000,9.495982,526.53828,lagrangian,hard,2,train,22,-0.8257625296639757,-5086.125762529662,506.0,0,1000,,10.0,10.05,10.05,34.85,,
6000,10.95639,547.625416,lagrangian,hard,2,train,11,-0.967325697038862,-0.967325697038862,0.0,0,1000,,10.0,34.85,34.85,34.35,,
7000,12.890587,543.031672,lagrangian,hard,2,train,18,-0.9762277698559021,-0.9762277698559021,0.0,0,1000,,10.0,34.35,34.35,33.85,,
8000,14.35816,557.174211,lagrangian,hard,2,train,11,-1.9335294905527154,-1.9335294905527154,0.0,0,1000,,10.0,33.85,33.85,33.35,,
9000,16.258253,553.564841,lagrangian,hard,2,train,8,0.07298749938198901,0.07298749938198901,0.0,0,1000,,10.0,33.35,33.35,32.85,,
10000,17.770744,562.722435,lagrangian,hard,2,train,7,0.49902321107304115,-6043.9009767889265,184.0,0,1000,,10.0,32.85,32.85,41.550000000000004,,
11000,19.716628,557.904609,lagrangian,hard,2,train,2,1.7422608455045832,1.7422608455045832,0.0,0,1000,,10.0,41.550000000000004,41.550000000000004,41.050000000000004,,
12000,21.191185,566.273081,lagrangian,hard,2,train,17,-0.4284995781515173,-2135.0284995781512,52.0,0,1000,,10.0,41.050000000000004,41.050000000000004,43.150000000000006,,
13000,23.095433,562.881743,lagrangian,hard,2,train,31,-0.07160218735249124,-0.07160218735249124,0.0,0,1000,,10.0,43.150000000000006,43.150000000000006,42.650000000000006,,
14000,24.673168,567.417861,lagrangian,hard,2,train,11,-0.7193446394555871,-0.7193446394555871,0.0,0,1000,,10.0,42.650000000000006,42.650000000000006,42.150000000000006,,
15000,26.679231,562.234991,lagrangian,hard,2,train,21,-1.8149936879134416,-1.8149936879134416,0.0,0,1000,,10.0,42.150000000000006,42.150000000000006,41.650000000000006,,
16000,28.19625,567.451262,lagrangian,hard,2,train,15,3.385342550065005,-3037.064657449935,73.0,1,1000,,10.0,41.650000000000006,41.650000000000006,44.800000000000004,,
17000,30.23039,562.347934,lagrangian,hard,2,train,31,-2.3950958988456668,-2.3950958988456668,0.0,0,1000,,10.0,44.800000000000004,44.800000000000004,44.300000000000004,,
18000,32.034567,561.892973,lagrangian,hard,2,train,31,-2.6904699665872,-2.6904699665872,0.0,0,1000,,10.0,44.300000000000004,44.300000000000004,43.800000000000004,,
19000,34.453896,551.461482,lagrangian,hard,2,train,26,1.3704429285630289,-2933.229557071432,67.0,1,1000,,10.0,43.800000000000004,43.800000000000004,46.650000000000006,,
20000,36.299349,550.97399,lagrangian,hard,2,train,20,-0.00017555371828281707,-1772.700175553719,38.0,0,1000,,10.0,46.650000000000006,46.650000000000006,48.050000000000004,,
21000,38.394383,546.954916,lagrangian,hard,2,train,28,-1.2508844333058293,-1.2508844333058293,0.0,0,1000,,10.0,48.050000000000004,48.050000000000004,47.550000000000004,,
22000,39.955608,550.610989,lagrangian,hard,2,train,20,-3.3287129434050646,-3.3287129434050646,0.0,0,1000,,10.0,47.550000000000004,47.550000000000004,47.050000000000004,,
23000,41.9219,548.639193,lagrangian,hard,2,train,5,-1.3413526752811369,-1.3413526752811369,0.0,0,1000,,10.0,47.050000000000004,47.050000000000004,46.550000000000004,,
24000,43.404867,552.93332,lagrangian,hard,2,train,7,-3.8672162450003005,-3.8672162450003005,0.0,0,1000,,10.0,46.550000000000004,46.550000000000004,46.050000000000004,,
25000,45.322669,551.600304,lagrangian,hard,2,train,3,-1.676526059776589,-2994.9265260597763,65.0,1,1000,,10.0,46.050000000000004,46.050000000000004,48.800000000000004,,
26000,46.806153,555.482464,lagrangian,hard,2,train,6,-0.6287408021478,-0.6287408021478,0.0,1,1000,,10.0,48.800000000000004,48.800000000000004,48.300000000000004,,
27000,48.703513,554.37475,lagrangian,hard,2,train,4,-4.327651993102302,-1501.6276519931023,31.0,0,1000,,10.0,48.300000000000004,48.300000000000004,49.35,,
28000,50.191523,557.863081,lagrangian,hard,2,train,10,-1.9446437259621043,-2025.2946437259627,41.0,0,1000,,10.0,49.35,49.35,50.9,,
29000,52.085371,556.778173,lagrangian,hard,2,train,11,-1.4772221301365978,-1.4772221301365978,0.0,0,1000,,10.0,50.9,50.9,50.4,,
30000,53.59167,559.78844,lagrangian,hard,2,train,19,-1.600978296823905,-7964.800978296811,158.0,0,1000,,10.0,50.4,50.4,57.8,,
31000,55.477804,558.781982,lagrangian,hard,2,train,7,-1.9009309538718266,-1.9009309538718266,0.0,0,1000,,10.0,57.8,57.8,57.3,,
32000,56.993767,561.464867,lagrangian,hard,2,train,6,-0.6877826951726644,-0.6877826951726644,0.0,0,1000,,10.0,57.3,57.3,56.8,,
33000,58.874841,560.511035,lagrangian,hard,2,train,10,-2.3001036605334653,-6136.700103660531,108.0,0,1000,,10.0,56.8,56.8,61.699999999999996,,
34000,60.404506,562.871868,lagrangian,hard,2,train,1,-3.006143437699865,-18327.906143437678,297.0,0,1000,,10.0,61.699999999999996,61.699999999999996,76.05,,
35000,62.877032,556.642017,lagrangian,hard,2,train,26,-2.7769310755587657,-2.7769310755587657,0.0,0,1000,,10.0,76.05,76.05,75.55,,
36000,64.643426,556.901143,lagrangian,hard,2,train,28,-1.7882444714168504,-1.7882444714168504,0.0,1,1000,,10.0,75.55,75.55,75.05,,
37000,66.821672,553.712543,lagrangian,hard,2,train,31,-3.0548952472748843,-3.0548952472748843,0.0,0,1000,,10.0,75.05,75.05,74.55,,
38000,68.281857,556.516762,lagrangian,hard,2,train,3,-3.214285090541872,-3208.8642850905403,43.0,0,1000,,10.0,74.55,74.55,76.2,,
39000,70.165389,555.829573,lagrangian,hard,2,train,5,0.36490977071457964,0.36490977071457964,0.0,0,1000,,10.0,76.2,76.2,75.7,,
40000,71.694592,557.922109,lagrangian,hard,2,train,24,0.4896994571553239,0.4896994571553239,0.0,0,1000,,10.0,75.7,75.7,75.2,,
41000,73.581314,557.206656,lagrangian,hard,2,train,4,-2.4105473023752677,-12636.010547302385,168.0,0,1000,,10.0,75.2,75.2,83.10000000000001,,
42000,75.036949,559.724218,lagrangian,hard,2,train,14,-0.15636311868614472,-5235.456363118689,63.0,0,1000,,10.0,83.10000000000001,83.10000000000001,85.75000000000001,,
43000,76.540183,561.79638,lagrangian,hard,2,train,6,-0.5974933443928108,-0.5974933443928108,0.0,0,1000,,10.0,85.75000000000001,85.75000000000001,85.25000000000001,,
44000,78.433094,560.987659,lagrangian,hard,2,train,31,-1.4096656707065716,-1.4096656707065716,0.0,0,1000,,10.0,85.25000000000001,85.25000000000001,84.75000000000001,,
45000,79.915255,563.096467,lagrangian,hard,2,train,19,4.17944928914231,-12877.820550710887,152.0,1,1000,,10.0,84.75000000000001,84.75000000000001,91.85000000000001,,
46000,81.799066,562.353587,lagrangian,hard,2,train,25,1.026901135671445,1.026901135671445,0.0,0,1000,,10.0,91.85000000000001,91.85000000000001,91.35000000000001,,
47000,83.321649,564.07906,lagrangian,hard,2,train,31,-2.860971230043739,-2.860971230043739,0.0,0,1000,,10.0,91.35000000000001,91.35000000000001,90.85000000000001,,
48000,85.239134,563.121606,lagrangian,hard,2,train,2,-0.618772811886938,-7632.018772811887,84.0,0,1000,,10.0,90.85000000000001,90.85000000000001,94.55000000000001,,
49000,86.732729,564.953954,lagrangian,hard,2,train,16,0.15908724968066945,0.15908724968066945,0.0,0,1000,,10.0,94.55000000000001,94.55000000000001,94.05000000000001,,
