timesteps,elapsed_seconds,steps_per_second,baseline,variant,run_seed,split,layout_seed,episode_return,episode_penalized_return,episode_cost,goals_achieved,episode_length,penalty_coeff,budget,lagrangian_lambda,lagrangian_lambda_before_update,lagrangian_lambda_after_update,episode_shield_interventions,shield_intervention_rate
1000,1.350849,740.273158,lagrangian,medium,2,train,8,0.9188293339662638,0.9188293339662638,0.0,0,1000,,20.0,0.0,0.0,0.0,,
2000,2.736012,730.989566,lagrangian,medium,2,train,15,-0.3013941223554717,-0.3013941223554717,1.0,0,1000,,20.0,0.0,0.0,0.0,,
3000,4.549182,659.458359,lagrangian,medium,2,train,13,-0.29663971009743806,-0.29663971009743806,0.0,0,1000,,20.0,0.0,0.0,0.0,,
4000,5.910729,676.735037,lagrangian,medium,2,train,8,-0.14684687090967463,-0.14684687090967463,0.0,0,1000,,20.0,0.0,0.0,0.0,,
5000,7.67785,651.223583,lagrangian,medium,2,train,22,0.16708068685875,0.16708068685875,214.0,0,1000,,20.0,0.0,0.0,9.700000000000001,,
6000,9.184057,653.305697,lagrangian,medium,2,train,11,-1.3659921415683072,-1.3659921415683072,0.0,0,1000,,20.0,9.700000000000001,9.700000000000001,8.700000000000001,,
7000,11.129462,628.960902,lagrangian,medium,2,train,18,-1.4250717088681426,-1.4250717088681426,0.0,0,1000,,20.0,8.700000000000001,8.700000000000001,7.700000000000001,,
8000,12.527374,638.601299,lagrangian,medium,2,train,11,-0.25693385234275956,-0.25693385234275956,0.0,0,1000,,20.0,7.700000000000001,7.700000000000001,6.700000000000001,,
9000,14.432163,623.606901,lagrangian,medium,2,train,8,2.366910248446937,2.366910248446937,0.0,1,1000,,20.0,6.700000000000001,6.700000000000001,5.700000000000001,,
10000,15.786595,633.448639,lagrangian,medium,2,train,7,-0.23593766895640877,-0.23593766895640877,0.0,0,1000,,20.0,5.700000000000001,5.700000000000001,4.700000000000001,,
11000,17.580864,625.680104,lagrangian,medium,2,train,2,-1.0204096844134316,-1.0204096844134316,0.0,0,1000,,20.0,4.700000000000001,4.700000000000001,3.700000000000001,,
12000,18.9643,632.767728,lagrangian,medium,2,train,17,0.026325998958393493,-203.47367400104162,55.0,0,1000,,20.0,3.700000000000001,3.700000000000001,5.450000000000001,,
13000,20.744238,626.679893,lagrangian,medium,2,train,31,1.315332053105835,1.315332053105835,0.0,1,1000,,20.0,5.450000000000001,5.450000000000001,4.450000000000001,,
14000,22.105931,633.314084,lagrangian,medium,2,train,11,-0.10748186417644545,-0.10748186417644545,0.0,0,1000,,20.0,4.450000000000001,4.450000000000001,3.450000000000001,,
15000,24.070947,623.157753,lagrangian,medium,2,train,21,1.6900793384860597,-332.9599206615141,97.0,0,1000,,20.0,3.450000000000001,3.450000000000001,7.300000000000001,,
16000,25.489376,627.712408,lagrangian,medium,2,train,15,0.04642221314655748,0.04642221314655748,0.0,0,1000,,20.0,7.300000000000001,7.300000000000001,6.300000000000001,,
17000,27.330672,622.011667,lagrangian,medium,2,train,31,-0.6091116850637208,-2293.809111685063,364.0,0,1000,,20.0,6.300000000000001,6.300000000000001,23.5,,
18000,28.70539,627.059816,lagrangian,medium,2,train,31,-0.8263112876599328,-2162.8263112876616,92.0,0,1000,,20.0,23.5,23.5,27.1,,
19000,30.471456,623.534272,lagrangian,medium,2,train,26,-0.9437216730243025,-0.9437216730243025,0.0,0,1000,,20.0,27.1,27.1,26.1,,
20000,31.84221,628.096988,lagrangian,medium,2,train,20,0.12262699713264169,0.12262699713264169,0.0,0,1000,,20.0,26.1,26.1,25.1,,
