timesteps,elapsed_seconds,steps_per_second,baseline,variant,run_seed,split,layout_seed,episode_return,episode_penalized_return,episode_cost,goals_achieved,episode_length,penalty_coeff,budget,lagrangian_lambda,lagrangian_lambda_before_update,lagrangian_lambda_after_update,episode_shield_interventions,shield_intervention_rate
1000,1.242233,804.998936,reward_penalty,easy,0,train,12,-0.323927663790728,-0.323927663790728,0.0,0,1000,10.0,,,,,,
2000,2.491657,802.677599,reward_penalty,easy,0,train,15,-0.1855454302018309,-0.1855454302018309,0.0,0,1000,10.0,,,,,,
3000,4.151394,722.64805,reward_penalty,easy,0,train,21,-0.19792391549395094,-0.19792391549395094,0.0,0,1000,10.0,,,,,,
4000,5.40538,740.002862,reward_penalty,easy,0,train,0,-1.3348047403260037,-1.3348047403260037,0.0,0,1000,10.0,,,,,,
5000,7.072375,706.975633,reward_penalty,easy,0,train,3,1.5730981519241962,1.5730981519241962,0.0,1,1000,10.0,,,,,,
6000,8.346961,718.824155,reward_penalty,easy,0,train,27,-0.22317455987357704,-0.22317455987357704,0.0,0,1000,10.0,,,,,,
7000,10.004257,699.701875,reward_penalty,easy,0,train,3,-0.8492895433984194,-0.8492895433984194,0.0,0,1000,10.0,,,,,,
8000,11.252815,710.932928,reward_penalty,easy,0,train,7,-1.224182213616594,-1.224182213616594,0.0,0,1000,10.0,,,,,,
9000,12.910388,697.112783,reward_penalty,easy,0,train,9,-0.2785914506441971,-0.2785914506441971,0.0,0,1000,10.0,,,,,,
10000,14.159416,706.243626,reward_penalty,easy,0,train,19,-0.4364216078647858,-0.4364216078647858,0.0,0,1000,10.0,,,,,,
11000,15.811326,695.703654,reward_penalty,easy,0,train,21,0.02703792159933638,0.02703792159933638,0.0,0,1000,10.0,,,,,,
12000,17.066668,703.124808,reward_penalty,easy,0,train,18,0.8710002193164693,0.8710002193164693,0.0,0,1000,10.0,,,,,,
13000,18.739503,693.721552,reward_penalty,easy,0,train,4,1.90420335676001,1.90420335676001,0.0,1,1000,10.0,,,,,,
14000,19.986626,700.468238,reward_penalty,easy,0,train,23,0.7391341838816621,-2049.2608658161175,205.0,0,1000,10.0,,,,,,
15000,21.704567,691.098642,reward_penalty,easy,0,train,6,0.8191790997771081,0.8191790997771081,0.0,0,1000,10.0,,,,,,
16000,22.98505,696.104532,reward_penalty,easy,0,train,24,3.6226426034190204,3.6226426034190204,0.0,1,1000,10.0,,,,,,
17000,24.642203,689.873261,reward_penalty,easy,0,train,24,0.8404856297874164,0.8404856297874164,0.0,0,1000,10.0,,,,,,
18000,25.905117,694.843311,reward_penalty,easy,0,train,12,-1.220017171269265,-5271.220017171272,527.0,0,1000,10.0,,,,,,
19000,27.581407,688.869731,reward_penalty,easy,0,train,26,1.4377991020981575,1.4377991020981575,0.0,0,1000,10.0,,,,,,
20000,28.837971,693.52997,reward_penalty,easy,0,train,1,0.6496023429341251,0.6496023429341251,0.0,0,1000,10.0,,,,,,
21000,30.509721,688.305112,reward_penalty,easy,0,train,6,0.8426760256623758,0.8426760256623758,0.0,0,1000,10.0,,,,,,
22000,31.771022,692.454813,reward_penalty,easy,0,train,7,0.19323328376224547,0.19323328376224547,0.0,0,1000,10.0,,,,,,
23000,33.427499,688.056148,reward_penalty,easy,0,train,23,2.9563283452163476,2.9563283452163476,0.0,1,1000,10.0,,,,,,
24000,34.678929,692.062806,reward_penalty,easy,0,train,14,2.618820963233773,2.618820963233773,0.0,1,1000,10.0,,,,,,
25000,36.343928,687.872713,reward_penalty,easy,0,train,24,3.0323513799656174,3.0323513799656174,0.0,1,1000,10.0,,,,,,
26000,37.657664,690.430427,reward_penalty,easy,0,train,17,2.9827791729964384,2.9827791729964384,0.0,1,1000,10.0,,,,,,
27000,39.336085,686.392586,reward_penalty,easy,0,train,5,0.015895188619868605,0.015895188619868605,0.0,0,1000,10.0,,,,,,
28000,40.578508,690.020374,reward_penalty,easy,0,train,25,0.6600431672716061,-1369.3399568327293,137.0,0,1000,10.0,,,,,,
29000,42.303232,685.526655,reward_penalty,easy,0,train,13,2.0090141516277806,2.0090141516277806,0.0,0,1000,10.0,,,,,,
30000,43.835682,684.373891,reward_penalty,easy,0,train,8,-0.46476430434293103,-0.46476430434293103,0.0,0,1000,10.0,,,,,,
31000,46.019114,673.633049,reward_penalty,easy,0,train,9,1.0896947001846167,-3808.9103052998125,381.0,0,1000,10.0,,,,,,
32000,47.329492,676.111144,reward_penalty,easy,0,train,20,0.5071445424230996,-1569.4928554575774,157.0,0,1000,10.0,,,,,,
33000,49.080217,672.36857,reward_penalty,easy,0,train,19,2.009798367404381,2.009798367404381,0.0,1,1000,10.0,,,,,,
34000,50.440352,674.063411,reward_penalty,easy,0,train,16,0.37005730179045515,0.37005730179045515,0.0,0,1000,10.0,,,,,,
35000,52.441035,667.416203,reward_penalty,easy,0,train,19,2.041445379596782,2.041445379596782,0.0,1,1000,10.0,,,,,,
36000,53.999996,666.666654,reward_penalty,easy,0,train,5,1.6084780938068741,-3068.3915219061946,307.0,0,1000,10.0,,,,,,
37000,56.428794,655.693541,reward_penalty,easy,0,train,30,0.8766977627146381,0.8766977627146381,0.0,0,1000,10.0,,,,,,
38000,57.745796,658.056515,reward_penalty,easy,0,train,15,1.0364716509735366,1.0364716509735366,0.0,0,1000,10.0,,,,,,
39000,59.538169,655.041928,reward_penalty,easy,0,train,15,0.14279447394742562,0.14279447394742562,0.0,0,1000,10.0,,,,,,
40000,60.79449,657.954313,reward_penalty,easy,0,train,0,0.21854670147219246,0.21854670147219246,0.0,0,1000,10.0,,,,,,
41000,62.500477,655.99494,reward_penalty,easy,0,train,18,-0.12334463938102469,-1000.1233446393804,100.0,0,1000,10.0,,,,,,
42000,63.745515,658.869829,reward_penalty,easy,0,train,3,1.339475327831805,1.339475327831805,0.0,1,1000,10.0,,,,,,
43000,64.998554,661.553138,reward_penalty,easy,0,train,24,2.3004788316005227,2.3004788316005227,0.0,1,1000,10.0,,,,,,
44000,66.674414,659.923272,reward_penalty,easy,0,train,17,1.466312105208913,1.466312105208913,0.0,1,1000,10.0,,,,,,
