timesteps,elapsed_seconds,steps_per_second,baseline,variant,run_seed,split,layout_seed,episode_return,episode_penalized_return,episode_cost,goals_achieved,episode_length,penalty_coeff,budget,lagrangian_lambda,lagrangian_lambda_before_update,lagrangian_lambda_after_update,episode_shield_interventions,shield_intervention_rate
1000,1.440053,694.416817,reward_penalty,hard,0,train,12,0.14791057854030187,0.14791057854030187,0.0,0,1000,0.1,,,,,,
2000,3.068717,651.732099,reward_penalty,hard,0,train,15,1.3004076751355536,-39.39959232486444,407.0,0,1000,0.1,,,,,,
3000,5.047591,594.342287,reward_penalty,hard,0,train,21,-1.3517942110415802,-1.3517942110415802,0.0,0,1000,0.1,,,,,,
4000,6.483995,616.903265,reward_penalty,hard,0,train,0,-0.15281215296976036,-0.15281215296976036,0.0,0,1000,0.1,,,,,,
5000,8.307298,601.88015,reward_penalty,hard,0,train,3,-1.4787287826620463,-1.4787287826620463,0.0,0,1000,0.1,,,,,,
6000,9.797364,612.409306,reward_penalty,hard,0,train,27,0.7434027656309031,-10.856597234369096,116.0,0,1000,0.1,,,,,,
7000,11.629709,601.906532,reward_penalty,hard,0,train,3,-0.3379556580129651,-19.43795565801295,191.0,0,1000,0.1,,,,,,
8000,13.078636,611.684389,reward_penalty,hard,0,train,7,-1.2007489197789134,-1.2007489197789134,0.0,0,1000,0.1,,,,,,
9000,14.900502,604.00633,reward_penalty,hard,0,train,9,0.48006148372030144,0.48006148372030144,0.0,0,1000,0.1,,,,,,
10000,16.35817,611.315175,reward_penalty,hard,0,train,19,1.391659051618963,-4.408340948381036,58.0,0,1000,0.1,,,,,,
11000,18.181531,605.009442,reward_penalty,hard,0,train,21,-0.8662843276594678,-0.8662843276594678,0.0,0,1000,0.1,,,,,,
12000,19.630622,611.289711,reward_penalty,hard,0,train,18,0.0056459437463654005,0.0056459437463654005,0.0,0,1000,0.1,,,,,,
13000,21.458585,605.818042,reward_penalty,hard,0,train,4,-0.5986590189312724,-0.5986590189312724,0.0,0,1000,0.1,,,,,,
14000,22.91019,611.081608,reward_penalty,hard,0,train,23,1.965897886419156,1.965897886419156,0.0,1,1000,0.1,,,,,,
15000,24.795623,604.945387,reward_penalty,hard,0,train,6,-0.5356073917991468,-0.5356073917991468,0.0,0,1000,0.1,,,,,,
16000,26.237917,609.804416,reward_penalty,hard,0,train,24,0.6532174659519883,0.6532174659519883,0.0,0,1000,0.1,,,,,,
17000,28.074227,605.537526,reward_penalty,hard,0,train,24,1.1547722974409231,-31.545227702559064,327.0,0,1000,0.1,,,,,,
18000,29.5324,609.499989,reward_penalty,hard,0,train,12,0.24199896256951403,-26.75800103743047,270.0,0,1000,0.1,,,,,,
19000,31.367107,605.729998,reward_penalty,hard,0,train,26,-1.0241646892297314,-1.0241646892297314,0.0,0,1000,0.1,,,,,,
20000,32.825793,609.276903,reward_penalty,hard,0,train,1,-2.5307241883731524,-13.730724188373152,112.0,0,1000,0.1,,,,,,
21000,34.675305,605.618248,reward_penalty,hard,0,train,6,0.34042768475897756,0.34042768475897756,0.0,0,1000,0.1,,,,,,
22000,36.158644,608.429825,reward_penalty,hard,0,train,7,-1.0418179727566614,-1.0418179727566614,0.0,0,1000,0.1,,,,,,
23000,37.987877,605.45624,reward_penalty,hard,0,train,23,2.8813358448202613,2.8813358448202613,0.0,2,1000,0.1,,,,,,
24000,39.448783,608.383724,reward_penalty,hard,0,train,14,0.2151171013457327,0.2151171013457327,0.0,0,1000,0.1,,,,,,
25000,41.279815,605.622791,reward_penalty,hard,0,train,24,0.680571895474541,0.680571895474541,0.0,0,1000,0.1,,,,,,
26000,42.724478,608.550395,reward_penalty,hard,0,train,17,-0.9840864835264589,-23.184086483526453,222.0,0,1000,0.1,,,,,,
27000,44.563691,605.874353,reward_penalty,hard,0,train,5,-0.7798439546450191,-12.279843954644981,115.0,0,1000,0.1,,,,,,
28000,46.019933,608.431945,reward_penalty,hard,0,train,25,-1.862256590601346,-1.862256590601346,0.0,0,1000,0.1,,,,,,
29000,47.857591,605.964426,reward_penalty,hard,0,train,13,-0.5415708717702461,-22.841570871770248,223.0,0,1000,0.1,,,,,,
30000,49.30941,608.403097,reward_penalty,hard,0,train,8,0.16590032962481072,-4.4340996703752005,46.0,0,1000,0.1,,,,,,
31000,51.132519,606.267759,reward_penalty,hard,0,train,9,1.3300508837446574,1.3300508837446574,0.0,0,1000,0.1,,,,,,
32000,52.582488,608.56759,reward_penalty,hard,0,train,20,-0.05045892266088403,-0.05045892266088403,0.0,0,1000,0.1,,,,,,
33000,54.406396,606.54629,reward_penalty,hard,0,train,19,3.534700404847372,-8.865299595152623,124.0,1,1000,0.1,,,,,,
34000,55.859057,608.674747,reward_penalty,hard,0,train,16,-1.2295353386296273,-30.92953533862959,297.0,0,1000,0.1,,,,,,
35000,57.694157,606.647182,reward_penalty,hard,0,train,19,0.38580627875963325,0.38580627875963325,0.0,0,1000,0.1,,,,,,
36000,59.127545,608.853242,reward_penalty,hard,0,train,5,1.7909243288441101,-26.809075671155878,286.0,0,1000,0.1,,,,,,
37000,61.002295,606.534509,reward_penalty,hard,0,train,30,0.45786615926299756,0.45786615926299756,0.0,0,1000,0.1,,,,,,
38000,62.445377,608.531803,reward_penalty,hard,0,train,15,0.16330839985438406,0.16330839985438406,0.0,0,1000,0.1,,,,,,
