timesteps,elapsed_seconds,steps_per_second,baseline,variant,run_seed,split,layout_seed,episode_return,episode_penalized_return,episode_cost,goals_achieved,episode_length,penalty_coeff,budget,lagrangian_lambda,lagrangian_lambda_before_update,lagrangian_lambda_after_update,episode_shield_interventions,shield_intervention_rate
1000,1.370346,729.740134,reward_penalty,medium,2,train,8,0.9188293339662638,0.9188293339662638,0.0,0,1000,0.0,,,,,,
2000,2.686008,744.598161,reward_penalty,medium,2,train,15,-0.3013941223554717,-0.3013941223554717,1.0,0,1000,0.0,,,,,,
3000,4.429062,677.343826,reward_penalty,medium,2,train,13,-0.29663971009743806,-0.29663971009743806,0.0,0,1000,0.0,,,,,,
4000,5.747997,695.894164,reward_penalty,medium,2,train,8,-0.14684687090967463,-0.14684687090967463,0.0,0,1000,0.0,,,,,,
5000,7.46858,669.470909,reward_penalty,medium,2,train,22,0.16708068685875,0.16708068685875,214.0,0,1000,0.0,,,,,,
6000,8.776782,683.621577,reward_penalty,medium,2,train,11,-1.3659921415683072,-1.3659921415683072,0.0,0,1000,0.0,,,,,,
7000,10.487814,667.441078,reward_penalty,medium,2,train,18,-1.4250717088681426,-1.4250717088681426,0.0,0,1000,0.0,,,,,,
8000,11.826689,676.435895,reward_penalty,medium,2,train,11,-0.25693385234275956,-0.25693385234275956,0.0,0,1000,0.0,,,,,,
9000,13.548545,664.277735,reward_penalty,medium,2,train,8,2.366910248446937,2.366910248446937,0.0,1,1000,0.0,,,,,,
10000,14.868947,672.542408,reward_penalty,medium,2,train,7,-0.23593766895640877,-0.23593766895640877,0.0,0,1000,0.0,,,,,,
11000,16.601329,662.597427,reward_penalty,medium,2,train,2,-1.0204096844134316,-1.0204096844134316,0.0,0,1000,0.0,,,,,,
12000,17.927897,669.347737,reward_penalty,medium,2,train,17,0.026325998958393493,0.026325998958393493,55.0,0,1000,0.0,,,,,,
13000,19.663931,661.108761,reward_penalty,medium,2,train,31,3.5241982098899465,3.5241982098899465,0.0,1,1000,0.0,,,,,,
14000,20.987557,667.061808,reward_penalty,medium,2,train,11,0.2202412513518568,0.2202412513518568,0.0,0,1000,0.0,,,,,,
15000,22.814437,657.478299,reward_penalty,medium,2,train,21,0.9443612007786779,0.9443612007786779,279.0,0,1000,0.0,,,,,,
16000,24.132161,663.015404,reward_penalty,medium,2,train,15,-0.15423119914521632,-0.15423119914521632,229.0,0,1000,0.0,,,,,,
17000,25.850217,657.634615,reward_penalty,medium,2,train,31,-0.6824602321833717,-0.6824602321833717,227.0,0,1000,0.0,,,,,,
18000,27.175928,662.350797,reward_penalty,medium,2,train,31,-0.5503573845554302,-0.5503573845554302,85.0,0,1000,0.0,,,,,,
